StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Toestemming,Q1,Q2,Q3,Q3_10_TEXT,Q4_1,Q4_2,Q6,Q21,Q5_1,Q5_2,Q5_3,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q8_1,Q8_2,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q11_1,Q11_2,Q11_3,Q11_4,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q13_1,Q13_2,Q13_3,Q13_4,Random
2023-06-19 04:33:28,2023-06-19 04:34:44,IP Address,,91,76,False,2023-06-26 04:34:52,R_XR47fNdUd1Q1809,,,,,,,anonymous,EN,Ja,2002,Man,Geen,,Waarschijnlijk,Neutraal,1 keer,1 keer,Mee eens,Neutraal,Helemaal mee eens,Helemaal eens,Eens,Helemaal eens,Helemaal eens,Helemaal eens,Eens,10,9,,,,,,,,,,,,,,,,,,,,,,,,,3
2023-07-04 07:35:45,2023-07-04 07:43:44,IP Address,,100,478,True,2023-07-04 07:43:45,R_3Pzq7DO3OBajw3G,,,,,,,anonymous,EN,Ja,7,Man,havo,,Waarschijnlijk,Onwaarschijnlijk,2 keer,0 keer,Neutraal,Mee eens,Helemaal mee eens,Neutraal,Eens,Niet eens,Eens,Eens,Helemaal eens,6,5,7,4,5,6,4,7,3,6,Eens,Neutraal,Niet eens,Niet eens,4,4,4,4,4,4,4,4,Mee eens,Een beetje oneens,Neutraal,Niet mee eens,3
2023-07-06 11:20:09,2023-07-06 11:23:40,IP Address,,100,211,True,2023-07-06 11:23:41,R_27KBcjWXg9ePm5X,,,,,,,anonymous,EN,Ja,7,Man,mbo,,Waarschijnlijk,Onwaarschijnlijk,3 keer of meer,0 keer,Neutraal,Neutraal,Mee eens,Eens,Eens,Helemaal eens,Eens,Eens,Eens,5,5,4,7,5,8,7,7,7,3,Eens,Eens,Neutraal,Neutraal,4,4,6,6,5,5,6,4,Niet mee eens,Een beetje oneens,Niet mee eens,Neutraal,2
2023-07-10 07:04:32,2023-07-10 07:08:40,IP Address,,100,247,True,2023-07-10 07:08:40,R_ClweBf0jDDNGMeZ,,,,,,,anonymous,EN,Ja,1996,Man,Universiteit,,Waarschijnlijk,Onwaarschijnlijk,2 keer,1 keer,Neutraal,Niet mee eens,Mee eens,Eens,Helemaal eens,Eens,Neutraal,Helemaal eens,Eens,4,4,7,3,6,7,2,7,3,5,Eens,Niet eens,Helemaal niet eens,Niet eens,6,4,6,6,5,3,2,4,Een beetje eens,Helemaal mee eens,Mee eens,Niet mee eens,1
2023-07-10 07:14:38,2023-07-10 07:24:21,IP Address,,100,582,True,2023-07-10 07:24:22,R_s88sK8Bw8t1nOZX,,,,,,,anonymous,EN,Ja,1995,Vrouw,Universiteit,,Heel waarschijnlijk,Onwaarschijnlijk,2 keer,1 keer,Mee eens,Mee eens,Helemaal mee eens,Eens,Eens,Helemaal eens,Eens,Eens,Eens,4,4,5,5,5,4,5,6,5,4,Eens,Neutraal,Neutraal,Neutraal,4,4,5,5,5,2,3,5,Een beetje eens,Neutraal,Mee eens,Neutraal,2
2023-07-10 15:15:08,2023-07-10 15:19:52,IP Address,,100,284,True,2023-07-10 15:19:53,R_31WxZrSN3UwQk85,,,,,,,anonymous,EN,Ja,1999,Vrouw,Universiteit,,Heel waarschijnlijk,Waarschijnlijk,1 keer,0 keer,Mee eens,Mee eens,Helemaal mee eens,Neutraal,Eens,Eens,Eens,Neutraal,Helemaal eens,6,6,6,8,8,5,7,5,4,3,Helemaal eens,Eens,Helemaal eens,Eens,5,4,6,5,5,2,2,5,Mee eens,Helemaal mee eens,Mee eens,Mee eens,3
2023-07-12 01:59:29,2023-07-12 02:05:06,IP Address,,100,336,True,2023-07-12 02:05:06,R_0VbkvutM0lzkLMR,,,,,,,anonymous,EN,Ja,1998,Vrouw,havo,,Waarschijnlijk,Onwaarschijnlijk,1 keer,0 keer,Mee eens,Mee eens,Mee eens,Eens,Eens,Eens,Eens,Helemaal eens,Helemaal eens,5,4,6,5,5,4,5,6,3,4,Neutraal,Niet eens,Niet eens,Niet eens,6,4,6,6,6,4,4,4,Een beetje oneens,Mee eens,Mee eens,Een beetje eens,1
2023-07-12 07:34:34,2023-07-12 07:38:05,IP Address,,100,210,True,2023-07-12 07:38:06,R_3ffmbnVFKUonQkG,,,,,,,anonymous,EN,Ja,1996,Vrouw,Universiteit,,Waarschijnlijk,Neutraal,0 keer,0 keer,Neutraal,Mee eens,Mee eens,Eens,Eens,Eens,Eens,Eens,Eens,6,6,4,6,6,5,5,4,4,3,Eens,Eens,Eens,Eens,5,5,5,5,5,3,3,4,Mee eens,Een beetje eens,Een beetje eens,Een beetje eens,3
2023-07-13 01:58:09,2023-07-13 02:02:28,IP Address,,100,258,True,2023-07-13 02:02:29,R_21mO57fNdRLIRQA,,,,,,,anonymous,EN,Ja,1999,Vrouw,Universiteit,,Heel waarschijnlijk,Onwaarschijnlijk,2 keer,1 keer,Niet mee eens,Neutraal,Mee eens,Eens,Eens,Helemaal eens,Helemaal eens,Neutraal,Eens,4,4,7,4,5,6,4,5,5,6,Eens,Niet eens,Helemaal niet eens,Neutraal,4,4,4,4,4,4,4,4,Mee eens,Een beetje eens,Neutraal,Neutraal,1
2023-07-13 04:28:47,2023-07-13 04:36:15,IP Address,,100,448,True,2023-07-13 04:36:15,R_uxqkxYpdsY6px5L,,,,,,,anonymous,EN,Ja,2003,Vrouw,vwo,,Waarschijnlijk,Waarschijnlijk,3 keer of meer,1 keer,Mee eens,Niet mee eens,Mee eens,Helemaal eens,Helemaal eens,Helemaal eens,Helemaal eens,Helemaal eens,Helemaal eens,2,7,4,2,7,3,2,8,2,9,Niet eens,Niet eens,Helemaal niet eens,Niet eens,5,6,7,6,5,1,2,6,Helemaal mee eens,Een beetje eens,Helemaal mee eens,Mee eens,3
2023-07-13 04:51:35,2023-07-13 04:53:27,IP Address,,100,111,True,2023-07-13 04:53:28,R_3R2UwEn5hYwVw4C,,,,,,,anonymous,EN,Ja,1996,Vrouw,mbo,,Heel waarschijnlijk,Heel onwaarschijnlijk,0 keer,0 keer,Helemaal mee eens,Helemaal mee eens,Helemaal mee eens,Niet eens,Neutraal,Neutraal,Niet eens,Eens,Neutraal,1,1,10,1,1,10,1,10,1,10,Eens,Neutraal,Neutraal,Neutraal,3,3,3,3,5,4,1,5,Een beetje oneens,Neutraal,Een beetje eens,Helemaal mee eens,1
2023-07-13 09:59:10,2023-07-13 10:14:15,IP Address,,100,904,True,2023-07-13 10:14:15,R_3EqHj50moVO3eCJ,,,,,,,anonymous,EN,Ja,2002,Vrouw,vwo,,Waarschijnlijk,Neutraal,2 keer,1 keer,Mee eens,Neutraal,Mee eens,Eens,Eens,Eens,Neutraal,Eens,Neutraal,3,2,6,4,6,6,5,7,7,8,Eens,Neutraal,Eens,Niet eens,5,5,6,5,4,7,6,4,Mee eens,Mee eens,Een beetje eens,Mee eens,3
2023-07-13 13:10:17,2023-07-13 13:14:43,IP Address,,100,266,True,2023-07-13 13:14:43,R_2f1IuduwFGTt6Zs,,,,,,,anonymous,EN,Ja,2001,Vrouw,vwo,,Heel waarschijnlijk,Neutraal,2 keer,0 keer,Mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Eens,Eens,Eens,Eens,Helemaal eens,3,3,7,6,4,7,4,7,4,3,Helemaal eens,Eens,Neutraal,Neutraal,6,5,6,6,6,2,2,5,Een beetje eens,Mee eens,Mee eens,Mee eens,2
2023-07-14 14:28:09,2023-07-14 14:37:41,IP Address,,100,572,True,2023-07-14 14:37:42,R_1NsKiZwkDgR3g53,,,,,,,anonymous,EN,Ja,1998,Man,Universiteit,,Heel waarschijnlijk,Onwaarschijnlijk,1 keer,1 keer,Helemaal niet mee eens,Niet mee eens,Mee eens,Niet eens,Eens,Helemaal eens,Helemaal niet eens,Eens,Eens,4,5,5,7,6,3,4,7,3,8,Niet eens,Neutraal,Helemaal niet eens,Helemaal niet eens,6,5,6,4,4,3,2,5,Een beetje eens,Niet mee eens,Een beetje eens,Mee eens,3
2023-07-16 08:40:19,2023-07-16 17:07:40,IP Address,,100,30440,True,2023-07-16 17:07:41,R_3oEDcdI8YEObL4u,,,,,,,anonymous,EN,Ja,1996,Vrouw,Universiteit,,Waarschijnlijk,Heel onwaarschijnlijk,3 keer of meer,1 keer,Helemaal mee eens,Mee eens,Helemaal mee eens,Neutraal,Neutraal,Eens,Neutraal,Eens,Eens,2,2,7,3,4,4,4,8,3,4,Eens,Neutraal,Eens,Eens,6,6,6,5,5,2,2,3,Mee eens,Een beetje oneens,Mee eens,Niet mee eens,2
2023-07-17 06:15:28,2023-07-17 06:29:15,IP Address,,100,827,True,2023-07-17 06:29:16,R_2BlMYB7SnPaYrHN,,,,,,,anonymous,EN,Ja,2002,Vrouw,havo,,Waarschijnlijk,Waarschijnlijk,3 keer of meer,3 keer of meer,Mee eens,Neutraal,Helemaal mee eens,Niet eens,Eens,Helemaal eens,Niet eens,Eens,Eens,3,3,6,3,3,7,3,7,2,7,Eens,Neutraal,Eens,Niet eens,4,4,6,5,5,3,3,4,Mee eens,Een beetje eens,Een beetje eens,Een beetje oneens,1
2023-07-18 06:48:57,2023-07-18 06:56:12,IP Address,,100,435,True,2023-07-18 06:56:13,R_1JEqN8axOFaX5Am,,,,,,,anonymous,EN,Ja,1997,Vrouw,Universiteit,,Heel waarschijnlijk,Heel onwaarschijnlijk,3 keer of meer,3 keer of meer,Mee eens,Helemaal mee eens,Helemaal mee eens,Neutraal,Eens,Eens,Neutraal,Eens,Eens,2,2,4,2,1,6,1,9,3,8,Eens,Neutraal,Helemaal niet eens,Neutraal,6,6,6,6,6,2,1,4,Neutraal,Een beetje oneens,Mee eens,Helemaal niet mee eens,1
2023-07-18 11:45:46,2023-07-18 12:07:11,IP Address,,100,1284,True,2023-07-18 12:07:12,R_1di3F8cGQ8BPEVX,,,,,,,anonymous,EN,Ja,1999,Man,mavo,,Waarschijnlijk,Onwaarschijnlijk,2 keer,0 keer,Mee eens,Mee eens,Helemaal mee eens,Neutraal,Helemaal eens,Helemaal eens,Neutraal,Eens,Eens,4,5,5,6,6,4,7,5,5,4,Eens,Eens,Neutraal,Eens,4,5,5,5,6,3,3,5,Een beetje oneens,Mee eens,Een beetje eens,Neutraal,3
2023-07-19 09:24:23,2023-07-19 09:33:14,IP Address,,100,531,True,2023-07-19 09:33:15,R_2y8f3dmL2yQDunQ,,,,,,,anonymous,EN,Ja,1999,Man,vwo,,Heel waarschijnlijk,Onwaarschijnlijk,3 keer of meer,1 keer,Mee eens,Mee eens,Helemaal mee eens,Neutraal,Eens,Helemaal eens,Eens,Helemaal eens,Eens,7,4,7,6,3,8,7,6,5,3,Eens,Eens,Niet eens,Eens,6,4,5,4,5,3,3,3,Een beetje eens,Mee eens,Mee eens,Niet mee eens,2
